"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.097350100E-2,1.149141788E-2,6.885528564E-4,-2.421379089E-2
1.597350100E-2,7.430434227E-3,1.058149338E-2,-4.559898376E-2
2.097350100E-2,-1.840591431E-3,5.491733551E-3,-9.659481049E-2
2.597350100E-2,5.851483345E-2,-3.649806976E-2,-1.230144501E-1
3.097350100E-2,1.341482401E-1,-9.772109985E-2,-1.421003342E-1
3.597350100E-2,1.833101511E-1,-1.283068657E-1,-1.923732758E-1
4.097350100E-2,2.043597698E-1,-1.412100792E-1,-2.600502968E-1
4.597350100E-2,2.222275734E-1,-1.399989128E-1,-2.722501755E-1
5.097350100E-2,2.845435143E-1,-1.440730095E-1,-2.721076012E-1
5.597350100E-2,3.169894218E-1,-1.464414597E-1,-2.545499802E-1
6.097350100E-2,3.132220507E-1,-1.445202827E-1,-2.647590637E-1
6.597350100E-2,3.383810520E-1,-1.297168732E-1,-2.236852646E-1
7.097350100E-2,3.727816343E-1,-1.410193443E-1,-1.490750313E-1
7.597350100E-2,4.143048525E-1,-1.497473717E-1,-7.120037079E-2
8.097350100E-2,4.225536585E-1,-1.464653015E-1,-8.722305298E-3
8.597350100E-2,4.523921013E-1,-1.748356819E-1,2.249717712E-3
9.097350100E-2,4.835523367E-1,-1.973428726E-1,1.279354095E-2
9.597350100E-2,4.769489765E-1,-2.059321404E-1,6.521987915E-2
1.009735010E-1,4.526217580E-1,-1.922059059E-1,1.047611237E-1
1.059735010E-1,4.050734043E-1,-1.672472954E-1,1.069812775E-1
1.109735010E-1,3.130929470E-1,-1.430449486E-1,3.637313843E-2
1.159735010E-1,1.821848750E-1,-1.127076149E-1,-8.624553680E-2
1.209735010E-1,5.114924908E-2,-6.069326401E-2,-2.272911072E-1
1.259735010E-1,-9.166216850E-2,-5.675220490E-2,-3.517413139E-1
1.309735010E-1,-1.735559702E-1,-7.370471954E-2,-3.812532425E-1
1.359735010E-1,-2.391383648E-1,-1.174459457E-1,-3.593130112E-1
1.409735010E-1,-3.252906799E-1,-1.652994156E-1,-2.667093277E-1
1.459735010E-1,-4.027715921E-1,-1.923308372E-1,-1.309309006E-1
1.509735010E-1,-4.160702229E-1,-2.202510834E-1,5.477571487E-2
1.559735010E-1,-3.888093233E-1,-2.080335617E-1,2.037544250E-1
1.609735010E-1,-3.198003769E-1,-1.844015121E-1,2.720198631E-1
1.659735010E-1,-2.351422310E-1,-1.496591568E-1,2.737927437E-1
1.709735010E-1,-1.689220667E-1,-1.224713326E-1,2.337222099E-1
1.759735010E-1,-1.076114178E-1,-8.457422256E-2,1.072182655E-1
1.809735010E-1,-2.803194523E-2,-7.389020920E-2,-8.853626251E-2
1.859735010E-1,5.182290077E-2,-8.090305328E-2,-3.003921509E-1
1.909735010E-1,1.320073605E-1,-1.005492210E-1,-4.244532585E-1
1.959735010E-1,1.828049421E-1,-1.370825768E-1,-4.674019814E-1
2.009735010E-1,2.597414851E-1,-1.829257011E-1,-4.657688141E-1
2.059735010E-1,2.999994159E-1,-2.183189392E-1,-4.192423820E-1
2.109735010E-1,2.948273420E-1,-2.226490974E-1,-3.367280960E-1
2.159735010E-1,2.525793314E-1,-2.481608391E-1,-2.311758995E-1
2.209735010E-1,2.054308057E-1,-2.803530693E-1,-1.063156128E-1
2.259735010E-1,1.435624957E-1,-2.652106285E-1,-1.815319061E-2
2.309735010E-1,1.207496524E-1,-2.317442894E-1,6.428766251E-2
2.359735010E-1,1.050007343E-1,-2.259440422E-1,1.050114632E-1
2.409735010E-1,7.981598377E-2,-2.094578743E-1,6.318044662E-2
2.459735010E-1,-1.316726208E-2,-1.893959045E-1,-8.459568024E-3
2.509735010E-1,-9.032618999E-2,-1.434483528E-1,-1.092777252E-1
2.559735010E-1,-1.489011049E-1,-8.532762527E-2,-2.427926064E-1
2.609735010E-1,-1.654187441E-1,-4.515028000E-2,-4.007806778E-1
2.659735010E-1,-2.151496410E-1,-1.616907120E-2,-5.169396400E-1
2.709735010E-1,-3.251392841E-1,1.321077347E-2,-5.741500854E-1
2.759735010E-1,-3.970278502E-1,5.477619171E-2,-6.206674576E-1
2.809735010E-1,-4.028052092E-1,7.603740692E-2,-5.967650414E-1
2.859735010E-1,-3.449567556E-1,6.768131256E-2,-5.784845352E-1
2.909735010E-1,-2.583339214E-1,7.354354858E-2,-5.361299515E-1
2.959735010E-1,-1.733422279E-1,4.559087753E-2,-4.408545494E-1
3.009735010E-1,-1.132006645E-1,1.017808914E-2,-3.663702011E-1
3.059735010E-1,-7.774949074E-2,-4.785108566E-2,-2.787456512E-1
3.109735010E-1,-3.624415398E-2,-8.965301514E-2,-1.803689003E-1
3.159735010E-1,1.179349422E-2,-1.294589043E-1,-8.105182648E-2
3.209735010E-1,8.277523518E-2,-1.622920036E-1,3.039836884E-2
3.259735010E-1,1.163982749E-1,-1.802191734E-1,1.345162392E-1
3.309735010E-1,9.112930298E-2,-1.815195084E-1,2.375559807E-1
3.359735010E-1,6.660735607E-2,-1.820292473E-1,2.896652222E-1
3.409735010E-1,7.685184479E-3,-1.421780586E-1,3.274974823E-1
3.459735010E-1,-5.712330341E-2,-4.763317108E-2,3.270864487E-1
3.509735010E-1,-1.120272875E-1,4.974222183E-2,2.935333252E-1
3.559735010E-1,-1.524984837E-1,1.221890450E-1,2.044520378E-1
3.609735010E-1,-1.944816113E-1,1.953482628E-1,9.959888458E-2
3.659735010E-1,-1.810388565E-1,2.715458870E-1,-4.144525528E-2
3.709735010E-1,-1.563014984E-1,3.539676666E-1,-1.752996445E-1
3.759735010E-1,-1.418954134E-1,3.818221092E-1,-2.821903229E-1
3.809735010E-1,-1.046705246E-1,3.867650032E-1,-3.566741943E-1
3.859735010E-1,-6.083202362E-2,3.844203949E-1,-4.126715660E-1
3.909735010E-1,1.834785938E-2,3.627948761E-1,-4.220228195E-1
3.959735010E-1,3.603625298E-2,3.407988548E-1,-3.589930534E-1
4.009735010E-1,6.347119808E-2,2.962322235E-1,-2.763385773E-1
4.059735010E-1,4.874730110E-2,2.669849396E-1,-1.754093170E-1
4.109735010E-1,5.516648293E-2,2.503108978E-1,-1.101317406E-1
4.159735010E-1,8.218836784E-2,2.136168480E-1,-6.988334656E-2
4.209735010E-1,8.894300461E-2,1.752066612E-1,-3.501939774E-2
4.259735010E-1,1.133697033E-1,1.688752174E-1,2.185058594E-2
4.309735010E-1,1.493673325E-1,1.220154762E-1,8.753252029E-2
4.359735010E-1,1.849927902E-1,6.977224350E-2,1.679706573E-1
4.409735010E-1,2.267170548E-1,3.249311447E-2,2.445244789E-1
4.459735010E-1,2.673881054E-1,7.689952850E-3,2.984371185E-1
4.509735010E-1,2.788263559E-1,-3.811836243E-3,3.434729576E-1
4.559735010E-1,2.872757316E-1,-6.112575531E-3,3.612217903E-1
4.609735010E-1,3.188420534E-1,-1.747608185E-3,3.387179375E-1
4.659735010E-1,3.463186026E-1,1.647996902E-2,2.574558258E-1
4.709735010E-1,3.302299976E-1,2.788448334E-2,1.842255592E-1
4.759735010E-1,3.263368011E-1,2.280378342E-2,4.837322235E-2
4.809735010E-1,3.525459170E-1,2.480125427E-2,-9.813499451E-2
4.859735010E-1,3.831726909E-1,1.951408386E-2,-2.437763214E-1
4.909735010E-1,4.275028110E-1,4.205703735E-4,-3.636512756E-1
4.959735010E-1,4.682836831E-1,-3.015756607E-2,-4.528627396E-1
5.009735010E-1,4.897597730E-1,-6.291151047E-2,-4.928064346E-1
5.059735010E-1,4.821082652E-1,-8.663415909E-2,-4.991431236E-1
