"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.349281300E-2,6.223520420E1,2.580099270E1,9.850069027E1,NaN,NaN,1.000000000E2,5.000127411E1
8.656823960E-1,6.223474441E1,2.580101078E1,8.385557017E1,9.100000262E-1,1.553000031E2,5.529412746E0,7.088125706E0
9.306130210E-1,6.223474020E1,2.580101493E1,8.385233313E1,9.100000262E-1,1.553000031E2,5.813625813E0,7.124567032E0
1.930358906E0,6.223474349E1,2.580100680E1,8.096048878E1,0.000000000E0,NaN,3.790092468E0,4.063730240E0
2.929774427E0,6.223473914E1,2.580101017E1,8.086691957E1,0.000000000E0,NaN,3.790092468E0,3.161798954E0
3.929907707E0,6.223473778E1,2.580101084E1,8.069687488E1,0.000000000E0,NaN,3.790092468E0,2.570163250E0
4.929656352E0,6.223473668E1,2.580101149E1,8.030460133E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.930218695E0,6.223473336E1,2.580101186E1,8.045462382E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.929796455E0,6.223472975E1,2.580101370E1,8.066439967E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.929628851E0,6.223472635E1,2.580102115E1,8.063235474E1,1.500000060E-1,1.553000031E2,3.790092468E0,2.500000000E0
8.930367497E0,6.223471824E1,2.580103365E1,8.042989724E1,8.100000024E-1,1.601999969E2,3.790092468E0,2.500000000E0
9.930277288E0,6.223470612E1,2.580104602E1,8.026308192E1,1.240000010E0,1.628999939E2,3.790092468E0,2.500000000E0
1.093031776E1,6.223469570E1,2.580105350E1,8.040364029E1,1.220000029E0,1.596999969E2,3.790092468E0,2.500000000E0
1.193025296E1,6.223468403E1,2.580106344E1,8.048133190E1,1.350000024E0,1.546999969E2,3.790092468E0,2.500000000E0
1.292979505E1,6.223467123E1,2.580107779E1,8.040222384E1,1.409999967E0,1.496000061E2,3.790092468E0,2.500000000E0
1.393047421E1,6.223465749E1,2.580109648E1,8.065063017E1,1.470000029E0,1.483000031E2,3.790092468E0,2.500000000E0
1.493009645E1,6.223464377E1,2.580111405E1,8.059807209E1,1.419999957E0,1.481999969E2,3.790092468E0,2.500000000E0
1.592990218E1,6.223462957E1,2.580113133E1,8.063041360E1,1.570000052E0,1.476999969E2,3.790092468E0,2.500000000E0
1.693052036E1,6.223461675E1,2.580114582E1,8.051675964E1,1.460000038E0,1.478000031E2,3.790092468E0,2.500000000E0
1.792977468E1,6.223460383E1,2.580115977E1,8.072354015E1,1.490000010E0,1.488000031E2,3.790092468E0,2.500000000E0
1.893035478E1,6.223459177E1,2.580117283E1,8.068135869E1,1.470000029E0,1.483999939E2,3.790092468E0,2.500000000E0
1.993014932E1,6.223457868E1,2.580118679E1,8.060066352E1,1.559999943E0,1.510000000E2,3.790092468E0,2.500000000E0
2.093036056E1,6.223456532E1,2.580119895E1,8.030957988E1,1.509999990E0,1.551999969E2,3.790092468E0,2.500000000E0
2.192992676E1,6.223455301E1,2.580121104E1,8.046637282E1,1.419999957E0,1.536000061E2,3.790092468E0,2.500000000E0
2.293030213E1,6.223453869E1,2.580122021E1,8.063750764E1,1.460000038E0,1.581999969E2,3.790092468E0,2.500000000E0
2.392963098E1,6.223452434E1,2.580123054E1,8.068590083E1,1.480000019E0,1.586000061E2,3.790092468E0,2.500000000E0
2.493017812E1,6.223451033E1,2.580123793E1,8.092478473E1,1.539999962E0,1.598000031E2,3.790092468E0,2.500000000E0
2.593009499E1,6.223449755E1,2.580124611E1,8.107529051E1,1.529999971E0,1.588999939E2,3.790092468E0,2.500000000E0
2.693036905E1,6.223448517E1,2.580125339E1,8.103805231E1,1.509999990E0,1.613999939E2,3.790092468E0,2.500000000E0
2.793011640E1,6.223447331E1,2.580125983E1,8.097548477E1,1.509999990E0,1.638999939E2,3.790092468E0,2.500000000E0
2.893029843E1,6.223446280E1,2.580126971E1,8.059901446E1,1.549999952E0,1.615000000E2,3.790092468E0,2.500000000E0
